"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 16:35:19 CST 2024","Mon Aug 26 16:35:19 CST 2024","29","testcase","test_case","TestQitanApi","","","热门公司",""
"passed","Mon Aug 26 16:35:08 CST 2024","Mon Aug 26 16:35:11 CST 2024","2978","testcase","test_case","TestQitanApi","","","行业上市公司分布",""
"passed","Mon Aug 26 16:35:22 CST 2024","Mon Aug 26 16:35:23 CST 2024","166","testcase","test_case","TestQitanApi","","","在线诊断",""
"passed","Mon Aug 26 16:35:26 CST 2024","Mon Aug 26 16:35:26 CST 2024","46","testcase","test_case","TestQitanApi","","","删除资产负债表的20403数据",""
"passed","Mon Aug 26 16:34:57 CST 2024","Mon Aug 26 16:34:57 CST 2024","42","testcase","test_case","TestQitanApi","","","管理熵核心评价维度对比",""
"passed","Mon Aug 26 16:34:51 CST 2024","Mon Aug 26 16:34:51 CST 2024","32","testcase","test_case","TestQitanApi","","","管理熵诊断评价",""
"passed","Mon Aug 26 16:35:23 CST 2024","Mon Aug 26 16:35:26 CST 2024","2681","testcase","test_case","TestQitanApi","","","资产负债表的2023年添加数据",""
"passed","Mon Aug 26 16:34:51 CST 2024","Mon Aug 26 16:34:51 CST 2024","223","testcase","test_case","TestQitanApi","","","管理熵的排名",""
"passed","Mon Aug 26 16:35:30 CST 2024","Mon Aug 26 16:35:31 CST 2024","901","testcase","test_case","TestQitanApi","","","上传利润表的数据",""
"passed","Mon Aug 26 16:35:19 CST 2024","Mon Aug 26 16:35:19 CST 2024","44","testcase","test_case","TestQitanApi","","","产业链创建",""
"passed","Mon Aug 26 16:35:05 CST 2024","Mon Aug 26 16:35:05 CST 2024","64","testcase","test_case","TestQitanApi","","","获取行业",""
"passed","Mon Aug 26 16:35:36 CST 2024","Mon Aug 26 16:35:41 CST 2024","4355","testcase","test_case","TestQitanApi","","","现金流量表上插入数据",""
"passed","Mon Aug 26 16:34:47 CST 2024","Mon Aug 26 16:34:47 CST 2024","28","testcase","test_case","TestQitanApi","","","热搜公司",""
"passed","Mon Aug 26 16:35:26 CST 2024","Mon Aug 26 16:35:30 CST 2024","4323","testcase","test_case","TestQitanApi","","","插入资产负债表的数据",""
"passed","Mon Aug 26 16:35:42 CST 2024","Mon Aug 26 16:37:00 CST 2024","78508","testcase","test_case","TestQitanApi","","","完成开始计算第二步",""
